QUERYID,CASE_NUM,CASE_YEAR,REGN_CNTY_CDE,COMP_MUNI,MUNITYPE,REF_MRKR,ATINTERSECTION_IND,COMPX,COMPY,ACC_DATE,ACCD_TME,DMV_ACCD_CLSF,NUM_OF_INJURIES,NUM_OF_FATALITIES,NUM_OF_VEH,ACCD_TYP,COLLISION_TYP,TRAF_CNTL,LIGHT_COND,WEATHER,ROAD_SURF_COND
6836 ,33361481,2010 ,MONROE,Gates,,,Y,281485 ,4782613 , 03/01/2010,6:14 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,LEFT TURN (AGAINST OTHER CAR),TRAFFIC SIGNAL,DARK-ROAD LIGHTED,CLOUDY,DRY
6836 ,33368743,2010 ,MONROE,Webster,,,N,295765 ,4787975 , 03/01/2010,7:45 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,NONE,DAYLIGHT,CLOUDY,WET
6836 ,33369444,2010 ,MONROE,Irondequoit,,,Y,288938 ,4788100 , 03/02/2010,7:06 AM,PROPERTY DAMAGE AND INJURY,3 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,33369613,2010 ,MONROE,Gates,,,Y,277473 ,4779127 , 03/02/2010,9:19 PM,INJURY,1 ,0 ,1 ,COLLISION WITH GUIDE RAIL,OTHER,NONE,DARK-ROAD LIGHTED,CLEAR,DRY
6836 ,33369643,2010 ,MONROE,Brighton,, 15A43041128,N,287148 ,4776131 , 03/03/2010,10:35 PM,PROPERTY DAMAGE AND INJURY,4 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,TRAFFIC SIGNAL,DARK-ROAD LIGHTED,CLOUDY,DRY
6836 ,33369666,2010 ,MONROE,Brighton,,,N,285720 ,4774621 , 03/03/2010,3:43 PM,PROPERTY DAMAGE AND INJURY,2 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,33369675,2010 ,MONROE,Gates,, 33A43021151,N,282915 ,4779718 , 03/02/2010,10:16 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DARK-ROAD LIGHTED,CLEAR,DRY
6836 ,33369851,2010 ,MONROE,Brighton,,,N,285853 ,4777043 , 03/03/2010,9:00 AM,PROPERTY DAMAGE AND INJURY,4 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,NONE,DAYLIGHT,CLEAR,DRY
6836 ,33369944,2010 ,MONROE,Brighton,,,N,288981 ,4776468 , 03/03/2010,2:12 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,4 ,COLLISION WITH MOTOR VEHICLE,OTHER,NONE,DAYLIGHT,CLEAR,DRY
6836 ,33369996,2010 ,MONROE,Perinton,,250 43011009,N,300704 ,4769120 , 03/01/2010,12:12 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,CLOUDY,WET
6836 ,33370017,2010 ,MONROE,Henrietta,,252 43011076,N,286360 ,4773825 , 03/01/2010,10:15 PM,PROPERTY DAMAGE AND INJURY,2 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DARK-ROAD LIGHTED,CLOUDY,WET
6836 ,33370045,2010 ,MONROE,Brighton,,590I43011038,N,292318 ,4778187 , 03/03/2010,7:51 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,33370048,2010 ,MONROE,Irondequoit,,404 43035030,N,293335 ,4783609 , 03/03/2010,3:56 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
